1.  1-я Посадская улица
41.  Карьерный переулок

42.  Кинопрокатный переулок

43.  Ключевой переулок

44.  Колпакчи улица

45.  Кольцевая улица

46.  Комарова – Жореса улица

47.  Коммуны улица

48.  Короленко улица

49.  Космодемьянской улица

50.  Костомаровская улица

51.  Костомаровский переулок

52.  Красноармейская улица

53.  Крупской улица

54.  Крымский переулок

55.  Куйбышева улица

56.  Лазурная улица

57.  Левый Берег реки Орлик улица

58.  Левый Берег реки Оки улица

59.  Ленина площадь

60.  Ленина улица

61.  Лескова переулок

62.  Лескова улица

63.  Ломоносова улица

64.  Максима Горького улица

65.  Маршала Жукова площадь

66.  Математика Киселева ул. 

67.  Матвеева улица

68.  Матросова переулок

69.  Матросова улица

70.  Мезенская улица

71.  Мезенский переулок

72.  Монастырская площадь

73.  Наугорское шоссе

74.  Новая улица

75.  Новикова улица

76.  Образцова улица

77.  Огородный переулок

78.  Октябрьская улица

79.  Опытный переулок

80.  имени Орловской пионерской организации «Орлята»  сквер

81.  Осипенко улица

82.  Парижской Коммуны улица

83.  Пархоменко улица

84.  Пионерская улица

85.  Плещеевская улица

86.  Победы бульвар

87.  Пожарная улица

88.  Полесская площадь

89.  Полесская улица

90.  Политехническая улица

91.  Политехнический переулок

92.  Полярная улица

93.  Полярный переулок

94.  Пороховая улица

95.  Почтовый переулок

96.  Приборостроительная улица

97.  Пригородная улица

98.  Пролетарская Гора улица

99.  Салтыкова-Щедрина улица

100. Санько улица

101. Сибирская улица

102. Скворцова улица

103. Слесарный переулок

104. Слободская улица

105. Спортивный переулок

106. Стадионный переулок

107. Стартовый переулок

108. Стрелецкая улица

109. Стрелецкий переулок

110. Сурена Шаумяна улица

111. Техническая улица

112. Тихая улица

113. Трудовых Резервов улица

114. Тургенева улица

115. Украинская улица

116. Ушаковой улица

117. Цветаева улица

118. Чайковского улица

119. Часовая улица

120. Часовой переулок

121. Чекистов улица

122. Юрина улица

123. Ягодный переулок

124. Ясный переулок
